product_id,title,product_description,rating,ratings_count,initial_price,discount,currency,delivery_options,product_details,seller_name,category,total_amount_to_be_paid
8293015,Lychee bags,White Solid Sling Bag,3.9,84,1699,4.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""White solid sling bag, has a button closure1 main compartment, 2 inner pocketsTablet sleeve: No"",""material_and_care"":""PU. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height: 20 cm. Width: 16 cm. Depth: 6 cm""}",Unknown seller,handbags,1631.04
17637810,Toteteca,Women Black PU Structured Shoulder Bag,4.8,5,3099,63.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Black solid shoulder bag, with embellished detail3 main compartments, has a zip closure, Tablet sleeve: noWith a detachable sling strapWarranty: 1 monthWarranty provided by brand owner/manufacturer"",""material_and_care"":""PU. Wipe with a clean &amp; dry cloth to remove dust"",""size_and_fit"":""Height: 27 cm&nbsp;. Width: 13 cm. Depth: 40 cm""}",Unknown seller,handbags,1146.6299999999999
17761230,Caprese,Red Leather Structured Shoulder Bag,4.1,10,3999,70.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Red solid shoulder bag 2 main compartments, has a zip closure, 1 external pocket, 3 inner pockets  Tablet sleeve: no  Two handles  Warranty: 6 months  Warranty provided by brand owner/manufacturer"",""material_and_care"":""Do not rinse or wash.Do not overfill your product when using, products tend to lose shape.Clean the interiors of your product once a month to remove dust particles.Remove surface dust periodically with soft cloth.Remove stains with soft cloth dabbed with mild soapy water.Do not use detergents.Keep the product in a cool dry place, away from heat.Stuff the product with paper when not in use."",""size_and_fit"":""Height:&nbsp;18 cm. Width:&nbsp;32 cm. Depth:&nbsp;11 cm. ""}",Unknown seller,handbags,1199.7000000000003
15188034,Metro,Grey PU Swagger Sling Bag,4.3,10,1290,56.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Grey textured self design sling bag 1 main compartment, has a zip closure, Tablet sleeve: noOne handle with a detachable sling strapWarranty: 1 monthWarranty provided by the brand/manufacturer "",""material_and_care"":""Pu .  Wipe with a clean, dry cloth when needed"",""size_and_fit"":""Height:&nbsp;21cm. Width:&nbsp;6cm. Depth:&nbsp;14cm""}",MET███BRA███,handbags,567.5999999999999
21762808,Baggit,Structured Sling Bag,4.6,10,1690,50.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Fuchsia solid sling bag1 main compartment, has a zip closure, 1 external pocket, 2 inner pocketsTablet sleeve: noOne handle with a non-detachable sling strapWarranty: 6 monthsWarranty provided by brand owner/manufacturer"",""material_and_care"":""PU. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height: &nbsp;24.77 cm. Width: 25.4 cm. Depth: 13.34 cm""}",Bag███ In███ Pv██████,handbags,845.0
21421996,Baggit,Studded Sling Bag,4.5,40,1990,50.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Grey solid sling bag, with studded detail1 main compartment, has a flap with button closure, 1 external pocket, 1 inner pocketTablet sleeve: noWith a non-detachable sling strapWarranty: 6 monthsWarranty provided by brand owner/manufacturer"",""material_and_care"":""PU. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height: 17 cm. Width: 25 cm. Depth: 4 cm""}",Bag███ In███ Pv██████,handbags,995.0
21621752,Berrylush,Checked Structured Handheld Bag,4.0,111,3299,59.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Black checked handheld bag 1 main compartment, has a zip closure, Tablet sleeve: noTwo handles with a non-detachable sling strap"",""material_and_care"":""70% PU, 30% Fabric. Wipe with Clean Dry Cloth"",""size_and_fit"":""Height: 22cm. Width: 10cm. Depth: 32cm""}",AJN███S T███ SO█████████RIV████████████,handbags,1352.5900000000001
13359482,FLYING BERRY,Silver-Toned Solid Handheld Bag,4.9,7,2999,44.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Spacious in design, this bag will easily accommodate all your belongings.Words will fall short to define the elegance and urbanity of this white and other colored quilted handbag. Crafted from PU (polyurethane), this bag is durable and exhibits a brilliant finish."",""material_and_care"":""PU. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height: 32 cm. Width: 13 cm. Depth: 30 cm""}",Abh███Ove███as ██████,handbags,1679.44
13389422,DailyObjects,Multicoloured Printed Sling Bag,4.3,123,2999,62.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Multicoloured printed sling bag, has a zip closure2 main compartments, 1 inner pocketTablet sleeve: No"",""material_and_care"":""PU. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height:&nbsp;17.01 cm. Width:&nbsp;17.01 cm. Depth:&nbsp;9.14 cm. ""}",Fir███Who███ale█████████,handbags,1139.6200000000001
13389410,DailyObjects,Pink & Beige Printed Sling Bag,4.2,30,2999,62.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Pink and beige printed sling bag, has a zip closure1 main compartment, 2 inner pocketsHas detachable sling strap"",""material_and_care"":""PU. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""Height: 17.78 cm. Width: 17.78 cm. Depth: 9.14 cm""}",Fir███Who███ale█████████Lim██████,handbags,1139.6200000000001
22603262,DailyObjects,Charcoal Trunk Laptop Tote Bag,3.8,6,3999,25.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 30 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Grey solid sling bag, with fringed detail1 main compartment, has a zip closure, 1 external pockets, 3 inner pocketsTablet sleeve: with table sleeveTwo handle Warranty: 1 monthWarranty provided by brand owner/manufacturer"",""material_and_care"":""Polyester. Wipe with a clean, dry cloth to remove dust"",""size_and_fit"":""39.5 (H) x 39.5 (W) x 9 (D) cm""}",Fir███Who███ale█████████,handbags,2999.25
